category_large,data_id,name,price
DAILY_NECESSITY,142,보풀제거기A2,1000
DAILY_NECESSITY,143,트라이탄아동용물병230ML(옐로우),1000
DAILY_NECESSITY,144,트라이탄아동용물병230ML(민트),1000
DAILY_NECESSITY,145,다이노트라이탄뚜껑물병350ML,1000
DAILY_NECESSITY,146,입속미인마일드애플민트가글,1000
DAILY_NECESSITY,147,입속미인마일드시트러스향가글,1000
DAILY_NECESSITY,148,개별포장양면이쑤시개1000개입,1000
DAILY_NECESSITY,149,심플보풀제거기(블루),1000
DAILY_NECESSITY,150,흡착식헤어드라이기거치대,1000
DAILY_NECESSITY,151,틀니세정발포정40정,1000
DAILY_NECESSITY,152,간편하게열리는직사각용기80ML,1000
SAUCE,153,타이헤리티지 코코넛크림 400ML,1000
SAUCE,154,기꼬만 사시미 생간장소스 200ML,1000
SAUCE,155,몬 스위트칠리소스435ML,1000
SAUCE,156,기꼬만 혼쯔유 500ML,1000
SAUCE,157,토니 로마스 오리지널 비비큐용 소스 510G,1000
SAUCE,158,토니 로마스 캐롤라이나 허니 비비큐용 소스567G,1000
SAUCE,159,더본 백종원의 만능양념장소스370G,1000
SAUCE,160,프레고 이탈리안소스프레쉬머시룸양송이버섯 680G,1000
SAUCE,161,일본 불독 돈까스소스 300ML,1000
SAUCE,162,일본)가츠오맛샤브샤브용육수100ML,1000
SAUCE,163,신영 계피가루 40G,1000
SAUCE,164,신영 산초분말 37G,1000
SAUCE,165,이금기중화해선장,1000
SAUCE,166,요리가달콤하게살아나는요리당,1000
SAUCE,167,전통조청의깊고진한맛쌀엿,1000
SAUCE,168,바쏘 해바라기오일 2L,1000
SAUCE,169,이금기치킨파우더,1000
SAUCE,170,프리토스할라피뇨체다치즈딥소스,1000
SAUCE,171,인스턴트분말이스트8G,1000
SAUCE,172,유자오렌지드레싱 230G,1000
SAUCE,173,순창장류주식회사아이배냇순창한식된장,1000
HMR,174,롯데쇼핑)올리브유스프레이에어프라이어용200ML,1000
DAIRY_PRODUCT,175,토핑오트&애플시나몬,1000
DAIRY_PRODUCT,176,밀크씨슬간편한닥터캡슐,1000
DAIRY_PRODUCT,177,프로틴고단백질요거트,1000
DAIRY_PRODUCT,178,갈바니 리코타치즈425G,1000
DAIRY_PRODUCT,179,벨치즈코리아 끼리 그릭스타일 200G,1000
DAIRY_PRODUCT,180,한국 야쿠르트 건강한 간 케어 쿠퍼스 프리미엄 140ML,1000
DAIRY_PRODUCT,181,프랑스)끼리크림치즈플레인108G,1000
DAIRY_PRODUCT,182,알미체리페퍼위드스파이스크림치즈,1000
DRINKS,183,DIMES 석류착즙주스1000ML,1000
DRINKS,184,DIMES 타트체리착즙주스 1000ML,1000
DRINKS,185,케이쿨120ML,1000
DRINKS,186,롯데쇼핑 파인애플착즙주스700ML,1000
DRINKS,187,캐나다드라이토닉워터250ML,1000
DRINKS,188,롯데쇼핑)콜라,1000
DRINKS,189,롯데쇼핑)스트로베리히비스커스로즈힙,1000
DRINKS,190,롯데쇼핑)감귤착즙주스,1000
DRINKS,191,롯데쇼핑)석류착즙주스,1000
DRINKS,192,롯데쇼핑)물한방울넣지않은사과착즙주스,1000
DRINKS,193,헛개숙취세트3G*100ML,1000
DRINKS,194,오랑지나420ML,1000
DRINKS,195,탄산이톡톡스파클링워터(레몬)350ML,1000
DRINKS,196,(주)두리두리퀘이커마시는오트밀오트&그린티하동녹차,1000
DRINKS,197,(주)두리두리퀘이커마시는오트밀오트&그레인,1000
DRINKS,198,그래미여명1004천사의행복140ML,1000
QUASI_DRUG,199,메디바이스PlayBoy유틸리티울트라씬,1000
QUASI_DRUG,200,입터진날엔3개입9G,1000
QUASI_DRUG,201,해피홈아쿠아밴드,1000
QUASI_DRUG,202,원포 임신테스트기3개입,1000
QUASI_DRUG,203,펫퍼스펫퍼스배변유도제(애완용),1000
ALCOHOL,204,마이비어빅웨이브골든에일,1000
ALCOHOL,205,신세계스텅브루저먼레드,1000
ALCOHOL,206,문배주양조원문배술,1000
ALCOHOL,207,비어벨트 브라우펄 펄스 500ML,1000
ALCOHOL,208,백운 복분자와인 300ML,1000
ALCOHOL,209,크루저라즈베리향(병),1000
